"4-85%.txt","0","4","1","0","0","10","0"
"2-70%.txt","0","5","0","0","0","4","0"
"2-85%.txt","0","5","0","0","0","1","0"
"1-85%.txt","0","5","0","0","0","1","0"
"3-90%.txt","0","5","0","0","0","2","0"
"4-70%.txt","0","4","1","0","0","20","0"
"3-95%.txt","0","5","0","0","0","1","0"
"1-80%.txt","0","5","0","0","0","2","0"
"1-70%.txt","0","5","0","0","0","4","0"
"4-90%.txt","0","4","1","0","0","9","0"
"3-80%.txt","0","5","0","0","0","2","0"
"4-80%.txt","0","4","1","0","0","14","0"
"1-90%.txt","0","5","0","0","0","2","0"
"3-70%.txt","0","5","0","0","0","4","0"
"1-95%.txt","0","5","0","0","0","1","0"
"5-85%.txt","0","3","2","0","5","30","1"
"5-95%.txt","0","4","1","0","1","9","0"
"5-80%.txt","0","2","3","0","5","37","2"
"5-90%.txt","0","3","2","0","2","22","1"
"2-95%.txt","0","5","0","0","0","1","0"
"3-85%.txt","0","5","0","0","0","1","0"
"2-80%.txt","0","5","0","0","0","2","0"
"5-70%.txt","0","2","3","0","6","64","2"
"4-95%.txt","0","5","0","0","0","3","0"
"2-90%.txt","0","5","0","0","0","2","0"
